ID,EMPLOYEEID,ORDERDATE,REQUIREDDATE,SHIPPEDDATE,SHIPVIA,FREIGHT,SHIPNAME,SHIPADDRESS,SHIPCITY,SHIPREGION,SHIPPOSTALCODE,SHIPCOUNTRY
10504,4,2013-04-11,2013-05-09,2013-04-18,3,59.13,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA
10347,4,2012-11-06,2012-12-04,2012-11-08,3,3.10,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil
10419,4,2013-01-20,2013-02-17,2013-01-30,2,137.35,Richter Supermarkt,Starenweg 5,Genève,Western Europe,1204,Switzerland
10422,2,2013-01-22,2013-02-19,2013-01-31,1,3.02,Franchi S.p.A.,Via Monte Bianco 34,Torino,Southern Europe,10100,Italy
10818,7,2014-01-07,2014-02-04,2014-01-12,3,65.48,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy
10778,3,2013-12-16,2014-01-13,2013-12-24,1,6.79,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10373,4,2012-12-05,2013-01-02,2012-12-11,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10738,2,2013-11-12,2013-12-10,2013-11-18,1,2.91,Spécialités du monde,"25, rue Lauriston",Paris,Western Europe,75016,France
10926,4,2014-03-04,2014-04-01,2014-03-11,3,39.92,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,Central America,05021,Mexico
10514,3,2013-04-22,2013-05-20,2013-05-16,2,789.95,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
11040,4,2014-04-22,2014-05-20,,3,18.84,Great Lakes Food Market,2732 Baker Blvd.,Eugene,North America,97403,USA
10305,8,2012-09-13,2012-10-11,2012-10-09,3,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,North America,99508,USA
10964,3,2014-03-20,2014-04-17,2014-03-24,2,87.38,Spécialités du monde,"25, rue Lauriston",Paris,Western Europe,75016,France
10608,4,2013-07-23,2013-08-20,2013-08-01,2,27.79,Toms Spezialitäten,Luisenstr. 48,Münster,Western Europe,44087,Germany
10771,9,2013-12-10,2014-01-07,2014-01-02,2,11.19,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10766,4,2013-12-05,2014-01-02,2013-12-09,1,157.55,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany
10286,8,2012-08-21,2012-09-18,2012-08-30,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10474,5,2013-03-13,2013-04-10,2013-03-21,2,83.49,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,05033,Mexico
10858,2,2014-01-29,2014-02-26,2014-02-03,1,52.51,La corne d'abondance,"67, avenue de l'Europe",Versailles,Western Europe,78000,France
10533,8,2013-05-12,2013-06-09,2013-05-22,1,188.04,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
11075,8,2014-05-06,2014-06-03,,2,6.19,Richter Supermarkt,Starenweg 5,Genève,Western Europe,1204,Switzerland
11016,9,2014-04-10,2014-05-08,2014-04-13,2,33.80,Around the Horn,Brook Farm Stratford St. Mary,Colchester,British Isles,CO7 6JX,UK
10488,8,2013-03-27,2013-04-24,2013-04-02,2,4.93,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10360,4,2012-11-22,2012-12-20,2012-12-02,3,131.70,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
10559,6,2013-06-05,2013-07-03,2013-06-13,1,8.05,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
10983,2,2014-03-27,2014-04-24,2014-04-06,2,657.54,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
11061,4,2014-04-30,2014-06-11,,3,14.01,Great Lakes Food Market,2732 Baker Blvd.,Eugene,North America,97403,USA
10932,8,2014-03-06,2014-04-03,2014-03-24,1,134.64,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France
10930,4,2014-03-06,2014-04-17,2014-03-18,3,15.55,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium
10349,7,2012-11-08,2012-12-06,2012-11-15,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA
10418,4,2013-01-17,2013-02-14,2013-01-24,1,17.55,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10575,5,2013-06-20,2013-07-04,2013-06-30,1,127.34,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Western Europe,04179,Germany
10925,3,2014-03-04,2014-04-01,2014-03-13,1,2.27,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil
10717,1,2013-10-24,2013-11-21,2013-10-29,2,59.25,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
11060,2,2014-04-30,2014-05-28,2014-05-04,2,10.98,Franchi S.p.A.,Via Monte Bianco 34,Torino,Southern Europe,10100,Italy
10929,6,2014-03-05,2014-04-02,2014-03-12,1,33.93,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10356,6,2012-11-18,2012-12-16,2012-11-27,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany
10611,6,2013-07-25,2013-08-22,2013-08-01,2,80.65,Wolski Zajazd,ul. Filtrowa 68,Warszawa,Eastern Europe,01-012,Poland
10492,3,2013-04-01,2013-04-29,2013-04-11,1,62.89,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada
10469,1,2013-03-10,2013-04-07,2013-03-14,1,60.18,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA
10781,2,2013-12-17,2014-01-14,2013-12-19,3,73.16,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
10834,1,2014-01-15,2014-02-12,2014-01-19,3,29.78,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,South America,05634-030,Brazil
10655,1,2013-09-03,2013-10-01,2013-09-11,2,4.41,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy
10567,1,2013-06-12,2013-07-10,2013-06-17,1,33.97,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
11028,2,2014-04-16,2014-05-14,2014-04-22,1,29.59,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany
10284,4,2012-08-19,2012-09-16,2012-08-27,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
10536,3,2013-05-14,2013-06-11,2013-06-06,2,58.88,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
10470,4,2013-03-11,2013-04-08,2013-03-14,2,64.56,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France
10763,3,2013-12-03,2013-12-31,2013-12-08,3,37.35,Folies gourmandes,"184, chaussée de Tournai",Lille,Western Europe,59000,France
11008,7,2014-04-08,2014-05-06,,3,79.46,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10945,4,2014-03-12,2014-04-09,2014-03-18,1,10.22,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Western Europe,04179,Germany
10400,1,2013-01-01,2013-01-29,2013-01-16,3,83.93,Eastern Connection,35 King George,London,British Isles,WX3 6FW,UK
10755,4,2013-11-26,2013-12-24,2013-11-28,2,16.71,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France
11058,9,2014-04-29,2014-05-27,,3,31.14,Blauer See Delikatessen,Forsterstr. 57,Mannheim,Western Europe,68306,Germany
10527,7,2013-05-05,2013-06-02,2013-05-07,1,41.90,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10357,1,2012-11-19,2012-12-17,2012-12-02,3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10619,3,2013-08-04,2013-09-01,2013-08-07,3,91.05,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada
10785,1,2013-12-18,2014-01-15,2013-12-24,3,1.51,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,South America,1081,Venezuela
10354,8,2012-11-14,2012-12-12,2012-11-20,3,53.80,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,05033,Mexico
10623,8,2013-08-07,2013-09-04,2013-08-12,2,97.18,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
11003,3,2014-04-06,2014-05-04,2014-04-08,3,14.91,The Cracker Box,55 Grizzly Peak Rd.,Butte,North America,59801,USA
10358,5,2012-11-20,2012-12-18,2012-11-27,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France
10304,1,2012-09-12,2012-10-10,2012-09-17,2,63.79,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico
11063,3,2014-04-30,2014-05-28,2014-05-06,2,81.73,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10499,4,2013-04-08,2013-05-06,2013-04-16,2,102.02,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10729,8,2013-11-04,2013-12-16,2013-11-14,3,141.06,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,South America,4980,Venezuela
10502,2,2013-04-10,2013-05-08,2013-04-29,1,69.32,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,05033,Mexico
10799,9,2013-12-26,2014-02-06,2014-01-05,3,30.76,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany
10430,4,2013-01-30,2013-02-13,2013-02-03,1,458.78,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10510,6,2013-04-18,2013-05-16,2013-04-28,3,367.63,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
10761,5,2013-12-02,2013-12-30,2013-12-08,2,18.66,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10643,6,2013-08-25,2013-09-22,2013-09-02,1,29.46,Alfreds Futterkiste,Obere Str. 57,Berlin,Western Europe,12209,Germany
10971,2,2014-03-24,2014-04-21,2014-04-02,2,121.82,France restauration,"54, rue Royale",Nantes,Western Europe,44000,France
10434,3,2013-02-03,2013-03-03,2013-02-13,2,17.92,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
10302,4,2012-09-10,2012-10-08,2012-10-09,2,6.27,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium
10461,1,2013-02-28,2013-03-28,2013-03-05,3,148.61,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10883,8,2014-02-12,2014-03-12,2014-02-20,3,0.53,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,North America,97219,USA
10962,8,2014-03-19,2014-04-16,2014-03-23,2,275.79,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10684,3,2013-09-26,2013-10-24,2013-09-30,1,145.63,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany
10547,3,2013-05-23,2013-06-20,2013-06-02,2,178.43,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK
10262,8,2012-07-22,2012-08-19,2012-07-25,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10339,2,2012-10-28,2012-11-25,2012-11-04,2,15.66,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada
11068,8,2014-05-04,2014-06-01,,2,81.75,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,South America,05487-020,Brazil
10579,1,2013-06-25,2013-07-23,2013-07-04,2,13.73,Let's Stop N Shop,87 Polk St. Suite 5,San Francisco,North America,94117,USA
10565,8,2013-06-11,2013-07-09,2013-06-18,2,7.15,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada
10374,1,2012-12-05,2013-01-02,2012-12-09,3,3.94,Wolski Zajazd,ul. Filtrowa 68,Warszawa,Eastern Europe,01-012,Poland
10411,9,2013-01-10,2013-02-07,2013-01-21,3,23.65,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada
10327,2,2012-10-11,2012-11-08,2012-10-14,1,63.36,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
10361,1,2012-11-22,2012-12-20,2012-12-03,2,183.17,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
11064,1,2014-05-01,2014-05-29,2014-05-04,1,30.09,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
10715,3,2013-10-23,2013-11-06,2013-10-29,1,63.20,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France
10308,7,2012-09-18,2012-10-16,2012-09-24,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,Central America,05021,Mexico
10952,1,2014-03-16,2014-04-27,2014-03-24,1,40.42,Alfred's Futterkiste,Obere Str. 57,Berlin,Western Europe,12209,Germany
10309,3,2012-09-19,2012-10-17,2012-10-23,1,47.30,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10404,2,2013-01-03,2013-01-31,2013-01-08,1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy
10629,4,2013-08-12,2013-09-09,2013-08-20,3,85.46,Godos Cocina Típica,"C/ Romero, 33",Sevilla,Southern Europe,41101,Spain
10425,6,2013-01-24,2013-02-21,2013-02-14,2,7.93,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France
10695,7,2013-10-07,2013-11-18,2013-10-14,1,16.72,Wilman Kala,Keskuskatu 45,Helsinki,Scandinavia,21240,Finland
10265,2,2012-07-25,2012-08-22,2012-08-12,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
10689,1,2013-10-01,2013-10-29,2013-10-07,2,13.42,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10282,4,2012-08-15,2012-09-12,2012-08-21,1,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain
10833,6,2014-01-15,2014-02-12,2014-01-23,2,71.49,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany
10807,4,2013-12-31,2014-01-28,2014-01-30,1,1.36,Franchi S.p.A.,Via Monte Bianco 34,Torino,Southern Europe,10100,Italy
10924,3,2014-03-04,2014-04-01,2014-04-08,2,151.52,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10694,8,2013-10-06,2013-11-03,2013-10-09,3,398.36,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10459,4,2013-02-27,2013-03-27,2013-02-28,2,25.09,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France
10916,1,2014-02-27,2014-03-27,2014-03-09,2,63.77,Rancho grande,Av. del Libertador 900,Buenos Aires,South America,1010,Argentina
10897,3,2014-02-19,2014-03-19,2014-02-25,2,603.54,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10528,6,2013-05-06,2013-05-20,2013-05-09,2,3.35,Great Lakes Food Market,2732 Baker Blvd.,Eugene,North America,97403,USA
10336,7,2012-10-23,2012-11-20,2012-10-25,2,15.51,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,Southern Europe,1756,Portugal
10645,4,2013-08-26,2013-09-23,2013-09-02,1,12.41,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil
10605,1,2013-07-21,2013-08-18,2013-07-29,2,379.13,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada
10520,7,2013-04-29,2013-05-27,2013-05-01,1,13.37,Santé Gourmet,Erling Skakkes gate 78,Stavern,Scandinavia,4110,Norway
10390,6,2012-12-23,2013-01-20,2012-12-26,1,126.38,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10984,1,2014-03-30,2014-04-27,2014-04-03,3,211.22,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
10376,1,2012-12-09,2013-01-06,2012-12-13,2,20.39,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada
10465,1,2013-03-05,2013-04-02,2013-03-14,3,145.04,Vaffeljernet,Smagsloget 45,Århus,Northern Europe,8200,Denmark
10922,5,2014-03-03,2014-03-31,2014-03-05,3,62.74,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil
10775,7,2013-12-12,2014-01-09,2013-12-26,1,20.25,The Cracker Box,55 Grizzly Peak Rd.,Butte,North America,59801,USA
10982,2,2014-03-27,2014-04-24,2014-04-08,1,14.01,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada
10869,5,2014-02-04,2014-03-04,2014-02-09,1,143.28,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK
10737,2,2013-11-11,2013-12-09,2013-11-18,2,7.79,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France
10485,4,2013-03-25,2013-04-08,2013-03-31,2,64.45,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,South America,4980,Venezuela
10691,2,2013-10-03,2013-11-14,2013-10-22,2,810.05,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
