ORDERID,CUSTOMERID
10504,WHITC
10347,FAMIA
10419,RICSU
10422,FRANS
10818,MAGAA
10778,BERGS
10373,HUNGO
10738,SPECD
10926,ANATR
10514,ERNSH
11040,GREAL
10305,OLDWO
10964,SPECD
10608,TOMSP
10771,ERNSH
10766,OTTIK
10286,QUICK
10474,PERIC
10858,LACOR
10533,FOLKO
11075,RICSU
11016,AROUT
10488,FRANK
10360,BLONP
10559,BLONP
10983,SAVEA
11061,GREAL
10932,BONAP
10930,SUPRD
10349,SPLIR
10418,QUICK
10575,MORGK
10925,HANAR
10717,FRANK
11060,FRANS
10929,FRANK
10356,WANDK
10611,WOLZA
10492,BOTTM
10469,WHITC
10781,WARTH
10834,TRADH
10655,REGGC
10567,HUNGO
11028,KOENE
10284,LEHMS
10536,LEHMS
10470,BONAP
10763,FOLIG
11008,ERNSH
10945,MORGK
10400,EASTC
10755,BONAP
11058,BLAUS
10527,QUICK
10357,LILAS
10619,MEREP
10785,GROSR
10354,PERIC
10623,FRANK
11003,THECR
10358,LAMAI
10304,TORTU
11063,HUNGO
10499,LILAS
10729,LINOD
10502,PERIC
10799,KOENE
10430,ERNSH
10510,SAVEA
10761,RATTC
10643,ALFKI
10971,FRANR
10434,FOLKO
10302,SUPRD
10461,LILAS
10883,LONEP
10962,QUICK
10684,OTTIK
10547,SEVES
10262,RATTC
10339,MEREP
11068,QUEE
10579,LETSS
10565,MEREP
10374,WOLZA
10411,BOTTM
10327,FOLKO
10361,QUICK
11064,SAVEA
10715,BONAP
10308,ANATR
10952,ALFKI
10309,HUNGO
10404,MAGAA
10629,GODOS
10425,LAMAI
10695,WILMK
10265,BLONP
10689,BERGS
10282,ROMEY
10833,OTTIK
10807,FRANS
10924,BERGS
10694,QUICK
10459,VICTE
10916,RANCH
10897,HUNGO
10528,GREAL
10336,PRINI
10645,HANAR
10605,MEREP
10520,SANTG
10390,ERNSH
10984,SAVEA
10376,MEREP
10465,VAFFE
10922,HANAR
10775,THECR
10982,BOTTM
10869,SEVES
10737,VINET
10485,LINOD
10691,QUICK
10378,FOLKO
10562,REGGC
10652,GOURL
10705,HILAA
10479,RATTC
10854,ERNSH
10407,OTTIK
10848,CONSH
10299,RICAR
10636,WARTH
10532,EASTC
10658,QUICK
10701,HUNGO
10993,FOLKO
11077,RATTC
10630,KOENE
10996,QUICK
10589,GREAL
10887,GALED
10787,LAMAI
10384,BERGS
10272,RATTC
10482,LAZYK
11039,LINOD
10317,LONEP
10706,OLDWO
10523,SEVES
10560,FRANK
10540,QUICK
11047,EASTC
10546,VICTE
11035,SUPRD
10847,SAVEA
10397,PRINI
10522,LEHMS
10841,SUPRD
10923,LAMAI
10928,GALED
10845,QUICK
10822,TRAIH
10653,FRANK
10573,ANTO
10944,BOTTM
11062,REGGC
10581,FAMIA
10294,RATTC
10318,ISLAT
10998,WOLZA
10603,SAVEA
10871,BONAP
10657,SAVEA
10780,LILAS
10472,SEVES
10588,QUICK
10342,FRANK
10285,QUICK
10426,GALED
10826,BLONP
11042,COMMI
11072,ERNSH
10431,BOTTM
10900,WELLI
10487,QUEE
10451,QUICK
11012,FRANK
10906,WOLZA
10582,BLAUS
10972,LACOR
10902,FOLKO
10882,SAVEA
10776,ERNSH
10276,TORTU
10852,RATTC
10803,WELLI
10450,VICTE
10530,PICCO
10937,CACTU
10724,MEREP
10370,CHOPS
10836,ERNSH
10593,LEHMS
10287,RICAR
10813,RICAR
10319,TORTU
11029,CHOPS
10269,WHITC
10391,DRACD
10856,ANTO
11038,SUPRD
10307,LONEP
10531,OCEA
10290,COMMI
10506,KOENE
10558,AROUT
10392,PICCO
10632,WANDK
10598,RATTC
10524,BERGS
10933,ISLAT
10732,BONAP
10395,HILAA
10604,FURIB
10728,QUEE
10261,QUEDE
10986,OCEA
11059,RICAR
10259,CENTC
10325,KOENE
10669,SIMOB
10914,QUEE
11013,ROMEY
10564,RATTC
10872,GODOS
11053,PICCO
11009,GODOS
10920,AROUT
10661,HUNGO
10970,BOLID
10886,HANAR
10686,PICCO
10735,LETSS
10268,GROSR
10981,HANAR
10918,BOTTM
10257,HILAA
10750,WARTH
10977,FOLKO
10666,RICSU
10912,HUNGO
10389,BOTTM
10995,PERIC
10331,BONAP
10990,ERNSH
10624,THECR
10742,BOTTM
10437,WARTH
10811,LINOD
11037,GODOS
10484,BSBEV
10273,QUICK
10311,DUMO
10283,LILAS
10793,AROUT
10668,WANDK
10779,MORGK
10423,GOURL
11000,RATTC
10444,BERGS
10576,TORTU
10878,QUICK
10959,GOURL
10471,BSBEV
10512,FAMIA
10957,HILAA
11076,BONAP
10939,MAGAA
10610,LAMAI
10405,LINOD
10382,ERNSH
10802,SIMOB
11067,DRACD
10681,GREAL
10844,PICCO
10709,GOURL
10445,BERGS
10399,VAFFE
10609,DUMO
10566,BLONP
10414,FAMIA
10386,FAMIA
10551,FURIB
10722,SAVEA
10693,WHITC
11015,SANTG
10659,QUEE
10711,SAVEA
11056,EASTC
10568,GALED
10549,QUICK
10712,HUNGO
11020,OTTIK
10941,SAVEA
10379,QUEDE
10415,HUNGC
10377,SEVES
10857,BERGS
10550,GODOS
10829,ISLAT
10587,QUEDE
10314,RATTC
11070,LEHMS
11011,ALFKI
10599,BSBEV
10518,TORTU
10359,SEVES
10782,CACTU
10574,TRAIH
10640,WANDK
10702,ALFKI
10289,BSBEV
10674,ISLAT
10948,GODOS
10403,ERNSH
10481,RICAR
10362,BONAP
